# tracer: nop
#
# entries-in-buffer/entries-written: 30289/30289   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7518  [004] ....  1930.186718: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186729: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186740: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186751: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186763: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186774: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186785: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186796: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186810: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186821: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186832: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186843: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186854: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186866: tlb_flush: pages:1 reason:local mm shootdown (3)
