# tracer: nop
#
# entries-in-buffer/entries-written: 27230/27230   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7364  [008] ....  1669.098882: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098889: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098897: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098904: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098912: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098919: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098926: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098933: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098941: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098948: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098955: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098962: tlb_flush: pages:1 reason:local mm shootdown (3)
